date,total_clones,unique_clones
2022-09-01,1,1
2022-09-02,0,0
2022-09-03,0,0
2022-09-04,0,0
2022-09-05,0,0
2022-09-06,0,0
2022-09-07,0,0
2022-09-08,4,3
2022-09-09,2,2
2022-09-10,1,1
2022-09-11,1,1
2022-09-12,1,1
2022-09-13,1,1
2022-09-14,2,2
2022-09-15,1,1
2022-09-16,1,1
2022-09-17,1,1
2022-09-18,1,1
2022-09-19,1,1
2022-09-20,1,1
2022-09-21,1,1
2022-09-22,1,1
2022-09-23,1,1
2022-09-24,1,1
2022-09-25,1,1
2022-09-26,1,1
2022-09-27,2,2
2022-09-28,1,1
2022-09-29,1,1
2022-09-30,2,2
2022-10-01,1,1
2022-10-02,2,2
2022-10-03,1,1
2022-10-04,1,1
2022-10-05,1,1
2022-10-06,1,1
2022-10-07,1,1
2022-10-08,4,3
2022-10-09,3,2
2022-10-10,3,2
2022-10-11,1,1
2022-10-12,1,1
2022-10-13,1,1
2022-10-14,4,3
2022-10-15,5,4
2022-10-16,7,6
2022-10-17,5,4
2022-10-18,5,4
2022-10-19,6,5
2022-10-20,5,4
2022-10-21,5,4
2022-10-22,5,4
2022-10-23,5,4
2022-10-24,4,3
2022-10-25,5,4
2022-10-26,4,3
2022-10-27,0,0
