date,total_views,unique_views
2022-09-08,38,2
2022-09-09,0,0
2022-09-10,0,0
2022-09-11,8,1
2022-09-12,1,1
2022-09-13,8,2
2022-09-14,2,1
2022-09-15,6,2
2022-09-16,16,1
2022-09-17,0,0
2022-09-18,3,1
2022-09-19,3,1
2022-09-20,8,2
2022-09-21,2,1
2022-09-22,0,0
2022-09-23,8,1
2022-09-24,5,2
2022-09-25,8,1
2022-09-26,0,0
2022-09-27,13,1
2022-09-28,0,0
2022-09-29,0,0
2022-09-30,0,0
2022-10-01,4,1
2022-10-02,0,0
2022-10-03,1,1
2022-10-04,0,0
2022-10-05,0,0
2022-10-06,0,0
2022-10-07,0,0
2022-10-08,0,0
2022-10-09,0,0
2022-10-10,0,0
2022-10-11,7,1
2022-10-12,1,1
2022-10-13,3,1
2022-10-14,17,2
2022-10-15,7,1
2022-10-16,6,1
2022-10-17,24,3
2022-10-18,16,2
2022-10-19,6,1
2022-10-20,1,1
2022-10-21,11,1
2022-10-22,25,2
2022-10-23,0,0
